DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
09/25/2017,10:45,BRONX,10453,40.848877,-73.91615,"(40.848877, -73.91615)",MACOMBS ROAD                    ,NELSON AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3757778,PASSENGER VEHICLE,,,,
09/25/2017,10:45,BROOKLYN,11201,40.698376,-73.983055,"(40.698376, -73.983055)",NASSAU STREET                   ,GOLD STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3757239,SPORT UTILITY / STATION WAGON,,,,
09/25/2017,10:45,,,40.790184,-73.97691,"(40.790184, -73.97691)",WEST 88 STREET                  ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3758781,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
09/25/2017,10:45,,,40.72948,-73.9721,"(40.72948, -73.9721)",,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3756976,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
09/25/2017,10:48,,,40.802753,-73.93358,"(40.802753, -73.93358)",EAST 125 STREET                 ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3757203,SPORT UTILITY / STATION WAGON,,,,
09/25/2017,10:50,,,40.80574,-73.942764,"(40.80574, -73.942764)",WEST 124 STREET                 ,,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Driver Inattention/Distraction,,,,3757080,BICYCLE,PASSENGER VEHICLE,,,
09/25/2017,10:53,QUEENS,11417,40.681087,-73.846344,"(40.681087, -73.846344)",93 STREET                       ,ROCKAWAY BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3757062,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
09/25/2017,10:55,,,40.72948,-73.9721,"(40.72948, -73.9721)",,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3758644,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
09/25/2017,11:00,QUEENS,11375,40.724968,-73.840355,"(40.724968, -73.840355)",JEWEL AVENUE                    ,112 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Traffic Control Disregarded,,,,3756946,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
09/25/2017,11:00,,,40.64332,-74.01945,"(40.64332, -74.01945)",58 STREET                       ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3756983,SPORT UTILITY / STATION WAGON,,,,
09/25/2017,11:00,,,40.752464,-73.98955,"(40.752464, -73.98955)",7 AVENUE                        ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3757573,SPORT UTILITY / STATION WAGON,,,,
09/25/2017,11:00,,,40.85206,-73.82664,"(40.85206, -73.82664)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3757095,SPORT UTILITY / STATION WAGON,,,,
09/25/2017,11:00,BROOKLYN,11213,40.67944,-73.93241,"(40.67944, -73.93241)",,,1700      FULTON STREET                 ,1,0,1,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,,,,,3758706,PASSENGER VEHICLE,,,,
09/25/2017,11:00,,,40.757454,-73.95571,"(40.757454, -73.95571)",,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3758193,SPORT UTILITY / STATION WAGON,,,,
09/25/2017,11:02,MANHATTAN,10017,40.752544,-73.97268,"(40.752544, -73.97268)",,,203       EAST 45 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3757153,PASSENGER VEHICLE,PICK-UP TRUCK,,,
09/25/2017,11:05,MANHATTAN,10016,40.745277,-73.977104,"(40.745277, -73.977104)",,,222       EAST 34 STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3757152,PASSENGER VEHICLE,,,,
09/25/2017,11:05,,,40.804207,-73.96865,"(40.804207, -73.96865)",WEST 109 STREET                 ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3758118,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,11:07,,,40.718678,-74.00087,"(40.718678, -74.00087)",CANAL STREET                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3757070,PASSENGER VEHICLE,,,,
09/25/2017,11:15,BROOKLYN,11232,40.660114,-74.00191,"(40.660114, -74.00191)",3 AVENUE                        ,28 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3756963,SPORT UTILITY / STATION WAGON,,,,
09/25/2017,11:15,QUEENS,11385,40.69958,-73.90528,"(40.69958, -73.90528)",,,869       CYPRESS AVENUE                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3758578,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
